Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,CB,Commuter Bus,PT,,0,,0,,0,,0,,0,,0,,60116462,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,DR,Demand Response,PT,366,60648346,,8277690,,909012,,26387600,,0,,96222648,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,DR,Demand Response,TX,79,3517992,,490437,,49229,,1479958,,0,,5537616,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,FB,Ferryboat,DO,2,4717513,,1587187,,135577,,3716439,,0,,10156716,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,LR,Light Rail,PT,,0,,0,,0,,0,,0,,0,,151135438,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,MB,Bus,DO,739,390117232,,147419373,,42855392,,184180301,,0,,764572298,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,MB,Bus,PT,58,10162308,,2610284,,1352038,,5209649,,0,,19334279,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,SR,Streetcar Rail,DO,10,7084470,,2766166,,1312691,,3685061,,0,,14848388,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,TB,Trolleybus,DO,107,42949696,,11114958,,12240983,,21573271,,0,,87878908,,0,
"King County, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2352,VP,Vanpool,DO,991,1688793,,1824972,,101778,,7195241,,0,,10810784,,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,83764,"Spokane, WA",447279,316,DR,Demand Response,DO,54,8966796,,1732798,,409463,,3645731,,0,,14754788,,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,83764,"Spokane, WA",447279,316,DR,Demand Response,PT,38,4778925,,824378,,240284,,2108873,,0,,7952460,,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,83764,"Spokane, WA",447279,316,MB,Bus,DO,135,52665699,,15117874,,7048662,,20115138,,0,,94947373,,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,83764,"Spokane, WA",447279,316,VP,Vanpool,DO,89,229367,,103828,,18423,,596046,,0,,947664,,0,
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Lakewood,WA,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,416,CB,Commuter Bus,PT,,0,,0,,0,,0,,0,,0,,56498662,
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Lakewood,WA,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,416,DR,Demand Response,DO,14,1831162,,79282,,18937,,1106876,,0,,3036257,,0,
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Lakewood,WA,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,416,DR,Demand Response,PT,75,12923847,,2095480,,265987,,4589640,,0,,19874954,,0,
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Lakewood,WA,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,416,MB,Bus,DO,105,48066325,,12480733,,4012326,,26047775,,0,,90607159,,0,
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Lakewood,WA,00003,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,416,VP,Vanpool,DO,222,1700222,,1198750,,170410,,1743324,,0,,4812706,,0,
Confederated Tribes of the Colville Indian Reservation,Nespelem,WA,00004,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,5,FB,Ferryboat,DO,1,0,,0,,0,,0,,962735,,962735,,0,
Confederated Tribes of the Colville Indian Reservation,Nespelem,WA,00004,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,5,MB,Bus,DO,4,0,,0,,0,,0,,149969,,149969,,0,
"City of Everett, dba: Everett Transit",Everett,WA,00005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,50,DR,Demand Response,DO,18,3805315,,692717,,280527,,1910278,,0,,6688837,,0,
"City of Everett, dba: Everett Transit",Everett,WA,00005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,50,MB,Bus,DO,32,10975020,,3661779,,837904,,5417857,,0,,20892560,,0,
"City of Yakima, dba: Yakima Transit",Yakima,WA,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,97507,"Yakima, WA",133145,43,CB,Commuter Bus,PT,2,325421,,44548,,29699,,413065,,0,,812733,,0,
"City of Yakima, dba: Yakima Transit",Yakima,WA,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,97507,"Yakima, WA",133145,43,DR,Demand Response,PT,23,946111,,445036,,43193,,350557,,0,,1784897,,0,
"City of Yakima, dba: Yakima Transit",Yakima,WA,00006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,97507,"Yakima, WA",133145,43,MB,Bus,DO,18,5388566,,949119,,71901,,1389466,,0,,7799052,,0,
Lane Transit District,Eugene,OR,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,28117,"Eugene, OR",270179,141,DR,Demand Response,PT,35,3847942,,464844,,27131,,1482087,,0,,5822004,,0,
Lane Transit District,Eugene,OR,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,28117,"Eugene, OR",270179,141,DR,Demand Response,TX,31,3553587,,967591,,404187,,2276487,,0,,7201852,,0,
Lane Transit District,Eugene,OR,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,28117,"Eugene, OR",270179,141,MB,Bus,DO,53,22951927,,6352351,,1945087,,12535352,,0,,43784717,,0,
Lane Transit District,Eugene,OR,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,28117,"Eugene, OR",270179,141,MB,Bus,PT,3,298057,,2914,,19226,,239626,,0,,559823,,0,
Lane Transit District,Eugene,OR,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,28117,"Eugene, OR",270179,141,RB,Bus Rapid Transit,DO,13,7835150,,2226981,,846298,,4453290,,0,,15361719,,0,
Lane Transit District,Eugene,OR,00007,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,28117,"Eugene, OR",270179,141,VP,Vanpool,PT,6,25506,,3150,,647,,56299,,0,,85602,,0,
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,804,DR,Demand Response,PT,195,36083296,,3512409,,205966,,14809009,,0,,54610680,,0,
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,804,DR,Demand Response,TN,26,2389852,,0,,14690,,998889,,0,,3403431,,0,
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,804,DR,Demand Response,TX,19,509360,,150881,,93744,,1218008,,0,,1971993,,0,
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,804,LR,Light Rail,DO,102,78127772,,51010680,,47431157,,74608954,,0,,251178563,,0,
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,804,MB,Bus,DO,459,217689960,,57957487,,21330268,,96759171,,0,,393736886,,0,
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,804,SR,Streetcar Rail,PT,,0,,0,,0,,0,,0,,0,,14186475,
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,804,YR,Hybrid Rail,PT,3,2838147,,3263394,,2478994,,2751432,,0,,11331967,,0,
"Klamath Tribes, dba: Quail Trail",Chiloquin,OR,00010,Tribe,Reduced Reporter,2024,00041,Oregon Non-UZA,1553447,7,CB,Commuter Bus,DO,2,0,,0,,0,,0,,583225,,583225,,0,
"Klamath Tribes, dba: Quail Trail",Chiloquin,OR,00010,Tribe,Reduced Reporter,2024,00041,Oregon Non-UZA,1553447,7,DR,Demand Response,DO,5,0,,0,,0,,0,,198117,,198117,,0,
Municipality of Anchorage,Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,02305,"Anchorage, AK",249252,186,DR,Demand Response,PT,43,5215517,,536600,,38894,,1425386,,0,,7216397,,0,
Municipality of Anchorage,Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,02305,"Anchorage, AK",249252,186,MB,Bus,DO,40,18954824,,5476954,,2647906,,6796741,,0,,33876425,,0,
Municipality of Anchorage,Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,02305,"Anchorage, AK",249252,186,VP,Vanpool,PT,103,390998,,50671,,3696,,795026,,0,,1240391,,0,
Sitka Tribe of Alaska,Sitka,AK,00014,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,3,MB,Bus,DO,3,0,,0,,0,,0,,1758749,,1758749,,0,
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation",Snoqualmie,WA,00015,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,2,DR,Demand Response,DO,2,0,,0,,0,,0,,291879,,291879,,0,
"City of Longview, dba: RiverCities Transit",Longview,WA,00016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51283,"Longview, WA--OR",69841,22,DR,Demand Response,PT,10,1120497,,170432,,43429,,324705,,0,,1659063,,0,
"City of Longview, dba: RiverCities Transit",Longview,WA,00016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51283,"Longview, WA--OR",69841,22,MB,Bus,DO,12,2665080,,561128,,230365,,1037257,,0,,4493830,,0,
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services",Arlington,WA,00017,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,5,DR,Demand Response,DO,5,0,,0,,0,,0,,335656,,335656,,0,
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,44479,"Kennewick--Richland--Pasco, WA",255401,294,DR,Demand Response,DO,61,9625946,,1468748,,382722,,3180907,,0,,14658323,,0,
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,44479,"Kennewick--Richland--Pasco, WA",255401,294,DR,Demand Response,PT,39,3720184,,537558,,121149,,733557,,0,,5112448,,0,
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,44479,"Kennewick--Richland--Pasco, WA",255401,294,MB,Bus,DO,51,18110026,,3686852,,816688,,6754086,,0,,29367652,,0,
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,44479,"Kennewick--Richland--Pasco, WA",255401,294,VP,Vanpool,DO,143,978966,,482839,,54838,,524411,,0,,2041054,,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,65242,"Olympia--Lacey, WA",208157,243,CB,Commuter Bus,DO,8,1738396,,438079,,137842,,677325,,0,,2991642,,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,65242,"Olympia--Lacey, WA",208157,243,DR,Demand Response,DO,45,11879548,,1672697,,122322,,3550445,,0,,17225012,,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,65242,"Olympia--Lacey, WA",208157,243,MB,Bus,DO,54,25951234,,5841301,,3624595,,11156290,,0,,46573420,,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,65242,"Olympia--Lacey, WA",208157,243,VP,Vanpool,DO,136,1459446,,1004684,,184519,,324465,,0,,2973114,,0,
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit",Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,09946,"Bremerton, WA",224449,213,DR,Demand Response,DO,67,11486008,,1731205,,1248525,,4895034,,0,,19360772,,0,
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit",Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,09946,"Bremerton, WA",224449,213,DR,Demand Response,TX,2,54293,,30178,,27491,,90884,,0,,202846,,0,
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit",Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,09946,"Bremerton, WA",224449,213,FB,Ferryboat,DO,6,11653983,,6648450,,272587,,2298188,,0,,20873208,,0,
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit",Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,09946,"Bremerton, WA",224449,213,MB,Bus,DO,97,18265454,,6456838,,1886180,,7619861,,0,,34228333,,0,
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit",Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,09946,"Bremerton, WA",224449,213,VP,Vanpool,DO,41,503578,,152195,,55093,,325619,,0,,1036485,,0,
Whatcom Transportation Authority,Bellingham,WA,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,06652,"Bellingham, WA",128979,103,DR,Demand Response,DO,43,10203520,,1436788,,478329,,4072247,,0,,16190884,,0,
Whatcom Transportation Authority,Bellingham,WA,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,06652,"Bellingham, WA",128979,103,MB,Bus,DO,48,17246724,,3578390,,2329380,,7504211,,0,,30658705,,0,
Whatcom Transportation Authority,Bellingham,WA,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,06652,"Bellingham, WA",128979,103,VP,Vanpool,DO,12,59655,,55487,,20090,,64662,,0,,199894,,0,
"City of Pocatello, dba: Pocatello Regional Transit",Pocatello,ID,00022,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,70426,"Pocatello, ID",72211,24,DR,Demand Response,DO,13,0,,0,,0,,0,,1879803,,1879803,,0,
"City of Pocatello, dba: Pocatello Regional Transit",Pocatello,ID,00022,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,70426,"Pocatello, ID",72211,24,MB,Bus,DO,11,0,,0,,0,,0,,1251530,,1251530,,0,
"City of Seattle, dba: Seattle Center Monorail",Seattle,WA,00023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,8,MG,Monorail/Automated Guideway,PT,8,1633772,,1039877,,243455,,3126806,,0,,6043910,,0,
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN",Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,167,DR,Demand Response,DO,57,12134396,,1732002,,1021190,,4764284,,0,,19651872,,0,
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN",Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,167,MB,Bus,DO,95,29646344,,11085180,,2596200,,13130329,,0,,56458053,,0,
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN",Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,71317,"Portland, OR--WA",2104238,167,VP,Vanpool,DO,15,38285,,71250,,26067,,281096,,0,,416698,,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78229,"Salem, OR",268331,139,DR,Demand Response,PT,31,4294896,,434267,,69694,,1180732,,0,,5979589,,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78229,"Salem, OR",268331,139,MB,Bus,DO,55,23633290,,4631560,,1375682,,10277067,,0,,39917599,,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78229,"Salem, OR",268331,139,MB,Bus,PT,13,1929636,,328158,,60500,,409414,,0,,2727708,,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78229,"Salem, OR",268331,139,VP,Vanpool,PT,40,108917,,18965,,2976,,232483,,0,,363341,,0,
"County of Pierce, dba: Pierce County Ferry",Tacoma,WA,00028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,2,FB,Ferryboat,PT,2,4170752,,1751958,,184051,,1574517,,0,,7681278,,0,
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,563,CB,Commuter Bus,DO,24,4178201,,1661133,,410184,,1984437,,0,,8233955,,0,
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,563,CB,Commuter Bus,PT,39,4312851,,1328857,,613328,,2660384,,0,,8915420,,16474180,
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,563,DR,Demand Response,PT,58,9348524,,1025198,,731987,,3178583,,0,,14284292,,0,
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,563,MB,Bus,DO,141,74926362,,19042898,,7399410,,37743029,,0,,139111699,,0,
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,563,MB,Bus,PT,18,1588746,,483427,,194174,,803095,,0,,3069442,,6825268,
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,00029,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,563,VP,Vanpool,DO,283,1170733,,998592,,1130641,,2522879,,0,,5822845,,0,
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)",Palmer,AK,00030,Tribe,Reduced Reporter,2024,00002,Alaska Non-UZA,359299,3,DR,Demand Response,DO,3,0,,0,,0,,0,,143856,,143856,,0,
Shoshone-Bannock Tribes,Fort Hall,ID,00031,Tribe,Reduced Reporter,2024,00016,Idaho Non-UZA,836252,7,MB,Bus,DO,7,0,,0,,0,,0,,478054,,478054,,0,
"Senior Services of Snohomish County, dba: Homage Senior Services",Lynnwood,WA,00033,Private-Non-Profit Corporation,Reduced Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,11,DR,Demand Response,DO,10,0,,0,,0,,0,,1510204,,1510204,,0,
"Senior Services of Snohomish County, dba: Homage Senior Services",Lynnwood,WA,00033,Private-Non-Profit Corporation,Reduced Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,11,MB,Bus,DO,1,0,,0,,0,,0,,357759,,357759,,0,
Rogue Valley Transportation District,Medford,OR,00034,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,55981,"Medford, OR",171640,52,DR,Demand Response,PT,18,2371107,,184838,,7778,,584178,,0,,3147901,,0,
Rogue Valley Transportation District,Medford,OR,00034,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,55981,"Medford, OR",171640,52,MB,Bus,DO,34,9765230,,2020039,,764994,,4319714,,0,,16869977,,0,
Washington State Ferries,Olympia,WA,00035,State Government Unit or Department of Transportation,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,15,FB,Ferryboat,DO,15,260778647,,49576598,,14384472,,29086673,,0,,353826390,,0,
Makah Tribal Council,Neah Bay,WA,00036,Tribe,Reduced Reporter,2024,00053,Washington Non-UZA,1895776,1,MB,Bus,DO,1,0,,0,,0,,0,,196435,,196435,,0,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,429,CB,Commuter Bus,DO,124,70964084,,25867711,,10093320,,28716905,,0,,135642020,,0,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80389,"Seattle--Tacoma, WA",3544011,429,CB,Commuter Bus,PT,32,10240327,,3071087,,1339141,,5086812,,0,,19737367,,0,
